PAO1_ID,Name,Product.Name,GeneID.(PAO1),PA14_ID
PA1140,,conserved hypothetical protein,878039,PA14_49650
PA1141,,probable transcriptional regulator,879554,PA14_49640
PA1142,,probable transcriptional regulator,878072,PA14_49630
PA1143,,hypothetical protein,879850,PA14_49620
PA1144,,probable major facilitator superfamily (MFS) transporter,877809,PA14_49610
PA1145,,probable transcriptional regulator,878264,PA14_49590
PA1146,,probable iron-containing alcohol dehydrogenase,878737,PA14_49580
PA1147,,probable amino acid permease,879951,PA14_49570
PA1148,toxA,exotoxin A precursor,877850,PA14_49560
PA1149,,hypothetical protein,878272,PA14_49530
PA1150,pys2,pyocin S2,878080,
PA1151,imm2,pyocin S2 immunity protein,879819,
PA1152,,hypothetical protein,,
PA1153,,hypothetical protein,878620,PA14_49500
PA1154,,conserved hypothetical protein,877656,
PA1155,nrdB,"NrdB, tyrosyl radical-harboring component of class Ia ribonucleotide reductase",877692,PA14_49470
PA1156,nrdA,"NrdA, catalytic component of class Ia ribonucleotide reductase",877716,PA14_49460
PA1157,,probable two-component response regulator,879028,PA14_49440
PA1158,,probable two-component sensor,878647,PA14_49420
PA1159,,probable cold-shock protein,877579,PA14_49410
PA1160,,hypothetical protein,879610,PA14_49400
PA1161,rrmA,rRNA methyltransferase,877757,PA14_49390
PA1162,dapE,succinyl-diaminopimelate desuccinylase,877783,PA14_49380
PA1163,ndvB,NdvB,877810,PA14_49360
PA1164,,conserved hypothetical protein,878058,PA14_49350
PA1165,pcpS,PcpS,878433,PA14_49340
PA1166,,hypothetical protein,878458,PA14_49330
PA1167,,hypothetical protein,878215,PA14_49320
PA1168,,hypothetical protein,877589,PA14_49310
PA1169,,probable lipoxygenase,879547,PA14_49300
PA1170,,conserved hypothetical protein,880306,PA14_49290
PA1171,sltB2,SltB2,880763,PA14_49280
PA1172,napC,cytochrome c-type protein NapC,880706,PA14_49270
PA1173,napB,cytochrome c-type protein NapB precursor,878319,PA14_49260
PA1174,napA,periplasmic nitrate reductase protein NapA,878409,PA14_49250
PA1175,napD,NapD protein of periplasmic nitrate reductase,879211,PA14_49230
PA1176,napF,ferredoxin protein NapF,878505,PA14_49220
PA1177,napE,periplasmic nitrate reductase protein NapE,878584,PA14_49210
PA1178,oprH,PhoP/Q and low Mg2+ inducible outer membrane protein H1 precursor,878005,PA14_49200
PA1179,phoP,two-component response regulator PhoP,879194,PA14_49180
PA1180,phoQ,two-component sensor PhoQ,879187,PA14_49170
PA1181,,conserved hypothetical protein,878391,PA14_49160
PA1182,,probable transcriptional regulator,878277,PA14_49150
PA1183,dctA,C4-dicarboxylate transport protein,880848,PA14_49130
PA1184,,probable transcriptional regulator,880700,PA14_49110
PA1185,,probable glutathione S-transferase,880645,PA14_49100
PA1186,,hypothetical protein,877941,PA14_49090
PA1187,,probable acyl-CoA dehydrogenase,879934,PA14_49080
PA1188,,hypothetical protein,880017,PA14_49070
PA1189,,conserved hypothetical protein,880448,PA14_49060
PA1190,,conserved hypothetical protein,880589,PA14_49050
PA1191,,hypothetical protein,879923,PA14_49040
PA1192,,conserved hypothetical protein,883085,PA14_48870
PA1193,,hypothetical protein,879469,PA14_48860
PA1194,,probable amino acid permease,879327,PA14_48850
PA1195,ddaH,dimethylarginine dimethylaminohydrolase DdaH,883112,PA14_48840
PA1196,ddaR,transcriptional regulator DdaR,878419,PA14_48830
PA1197,,hypothetical protein,879533,PA14_48810
PA1198,,conserved hypothetical protein,878425,PA14_48800
PA1199,,probable lipoprotein,878316,PA14_48790
PA1200,,conserved hypothetical protein,877932,PA14_48780
PA1201,,probable transcriptional regulator,880881,PA14_48770
PA1202,,probable hydrolase,882011,PA14_48760
PA1203,,hypothetical protein,880886,PA14_48750
PA1204,,NAD(P)H quinone oxidoreductase,882133,PA14_48740
PA1205,,conserved hypothetical protein,882088,PA14_48730
PA1206,,hypothetical protein,881985,PA14_48710
PA1207,kefB,glutathione-regulated potassium-efflux system protein KefB,881881,PA14_48700
PA1208,,conserved hypothetical protein,881683,PA14_48680
PA1209,,hypothetical protein,880927,PA14_48660
PA1210,,conserved hypothetical protein,881966,PA14_48650
PA1211,,hypothetical protein,882007,PA14_48640
PA1212,,probable major facilitator superfamily (MFS) transporter,882023,PA14_48630
PA1213,,hypothetical protein,882124,PA14_48620
PA1214,,hypothetical protein,882040,PA14_48610
PA1215,,hypothetical protein,882005,PA14_48600
PA1216,,hypothetical protein,878403,PA14_48590
PA1217,,probable 2-isopropylmalate synthase,879659,PA14_48570
PA1218,,hypothetical protein,878233,PA14_48560
PA1219,,hypothetical protein,880899,PA14_48550
PA1220,,hypothetical protein,879715,PA14_48540
PA1221,,hypothetical protein,878373,PA14_48530
PA1222,,probable membrane-bound lytic murein transglycolase A,878372,PA14_48520
PA1223,,probable transcriptional regulator,877659,
PA1224,,probable NAD(P)H dehydrogenase,879344,
PA1225,,probable NAD(P)H dehydrogenase,879501,PA14_48440
PA1226,,probable transcriptional regulator,882208,PA14_48420
PA1227,,hypothetical protein,882189,PA14_48410
PA1228,,hypothetical protein,882243,PA14_48400
PA1229,,probable transcriptional regulator,881400,PA14_48390
PA1230,,hypothetical protein,881244,PA14_48380
PA1231,,conserved hypothetical protein,881164,PA14_48350
PA1232,,hypothetical protein,881167,PA14_48340
PA1233,,hypothetical protein,881188,PA14_48330
PA1234,,hypothetical protein,881198,PA14_48320
PA1235,,probable transcriptional regulator,881170,PA14_48310
PA1236,,probable major facilitator superfamily (MFS) transporter,881177,PA14_48300
PA1237,,probable multidrug resistance efflux pump,881184,PA14_48280
PA1238,,probable outer membrane component of multidrug efflux pump,881203,PA14_48240
PA1239,,hypothetical protein,881217,PA14_48210
PA1240,,probable enoyl-CoA hydratase/isomerase,881179,PA14_48200
PA1241,,probable transcriptional regulator,881636,PA14_48190
PA1242,sprP,SprP,881237,PA14_48170
PA1243,,probable sensor/response regulator hybrid,881234,PA14_48160
PA1244,,hypothetical protein,881242,PA14_48150
PA1245,aprX,AprX,881251,PA14_48140
PA1246,aprD,alkaline protease secretion protein AprD,881263,PA14_48115
PA1247,aprE,alkaline protease secretion protein AprE,881276,PA14_48100
PA1248,aprF,Alkaline protease secretion outer membrane protein AprF precursor,881227,PA14_48090
PA1249,aprA,alkaline metalloproteinase precursor,881248,PA14_48060
PA1250,aprI,alkaline proteinase inhibitor AprI,881261,PA14_48040
PA1251,,probable chemotaxis transducer,881281,PA14_48030
PA1252,dpkA,DpkA,881290,PA14_48020
PA1253,lhpG,"alpha-ketoglutaric semialdehyde dehydrogenase, LhpG",881455,PA14_48010
PA1254,lhpC,"delta1-pyrroline-4-hydroxy-2-carboxylate deaminase, LphC",881320,PA14_48000
PA1255,lhpK,"D-hydroxyproline epimerase, LhpK",881287,PA14_47970
PA1256,lhpO,"ABC transporter ATP-binding protein, LhpO",881300,PA14_47960
PA1257,lhpN,"amino acid ABC transporter membrane protein, LhpN",881306,PA14_47950
PA1258,lhpM,"Permease of ABC transporter, LhpM",881324,PA14_47940
PA1259,lhpH,LhpH,881330,PA14_47930
PA1260,lhpP,"ABC transporter periplasmic-binding protein, LhpP",881316,PA14_47920
PA1261,lhpR,"Transcriptional regulator, LhpR",881351,PA14_47910
PA1262,,probable major facilitator superfamily (MFS) transporter,881309,PA14_47900
PA1263,,hypothetical protein,881379,PA14_47890
PA1264,,probable transcriptional regulator,881381,PA14_47880
PA1265,,hypothetical protein,881343,PA14_47870
PA1266,lhpE,"D-hydroxyproline dehydrogenase alpha-subunit, LphE",881372,PA14_47860
PA1266.1,lhpF,"D-hydroxyproline dehydrogenase gamma-subunit, LphF",,
PA1267,lhpB,"D-hydroxyproline dehydrogenase beta-subunit, LphB",881399,PA14_47850
PA1268,lhpA,"Hydroxyproline 2-epimerase, LhpA",881376,PA14_47840
PA1269,,probable transcriptional regulator,881367,PA14_47820
PA1270,,hypothetical protein,881362,PA14_47810
PA1271,,probable tonB-dependent receptor,881398,PA14_47800
PA1272,cobO,cob(I)alamin adenosyltransferase,881408,PA14_47790
PA1273,cobB,"cobyrinic acid a,c-diamide synthase",881727,PA14_47760
PA1274,,conserved hypothetical protein,881430,PA14_47750
PA1275,cobD,cobalamin biosynthetic protein CobD,881384,PA14_47730
PA1276,cobC,cobalamin biosynthetic protein CobC,881414,PA14_47720
PA1277,cobQ,cobyric acid synthase,881421,PA14_47690
PA1278,cobP,cobinamide kinase,881443,PA14_47680
PA1279,cobU,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,881425,PA14_47670
PA1280,,hypothetical protein,881419,PA14_47660
PA1281,cobV,cobalamin (5'-phosphate) synthase,881439,PA14_47650
PA1282,,probable major facilitator superfamily (MFS) transporter,881440,PA14_47640
PA1283,,probable transcriptional regulator,881458,PA14_47610
PA1284,,probable acyl-CoA dehydrogenase,881436,PA14_47600
PA1285,,probable transcriptional regulator,881451,PA14_47580
PA1286,,probable major facilitator superfamily (MFS) transporter,881763,PA14_47560
PA1287,,probable glutathione peroxidase,881478,PA14_47550
PA1288,,probable outer membrane protein precursor,881473,PA14_47540
PA1289,,hypothetical protein,881466,PA14_47530
PA1290,,probable transcriptional regulator,881462,PA14_47520
PA1291,,hypothetical protein,881492,PA14_47510
PA1292,,probable 3-mercaptopyruvate sulfurtransferase,881495,PA14_47500
PA1293,,hypothetical protein,881470,PA14_47490
PA1294,rnd,ribonuclease D,881579,PA14_47460
PA1295,,conserved hypothetical protein,881558,PA14_47450
PA1296,,probable 2-hydroxyacid dehydrogenase,881526,PA14_47440
PA1297,,probable metal transporter,881510,PA14_47430
PA1298,,conserved hypothetical protein,881520,PA14_47420
PA1299,,conserved hypothetical protein,881499,PA14_47410
PA1300,,ECF sigma factor,881504,PA14_47400
PA1301,,probable transmembrane sensor,881570,PA14_47390
PA1302,,probable heme utilization protein precursor,881567,PA14_47380
PA1303,,signal peptidase,881561,PA14_47370
PA1304,,probable oligopeptidase,881476,PA14_47360
PA1305,,hypothetical protein,881584,PA14_47350
PA1306,,probable HIT family protein,881507,PA14_47340
PA1307,,conserved hypothetical protein,881545,PA14_47330
PA1308,,hypothetical protein,881591,PA14_47320
PA1309,,probable transcriptional regulator,881538,PA14_47310
PA1310,phnW,2-aminoethylphosphonate:pyruvate aminotransferase,881491,PA14_47300
PA1311,phnX,2-phosphonoacetaldehyde hydrolase,881484,PA14_47280
PA1312,,probable transcriptional regulator,881598,PA14_47270
PA1313,,probable major facilitator superfamily (MFS) transporter,881630,PA14_47260
PA1314,,hypothetical protein,881529,PA14_47250
PA1315,,probable transcriptional regulator,881612,PA14_47240
PA1316,,probable major facilitator superfamily (MFS) transporter,881564,PA14_47230
PA1317,cyoA,cytochrome o ubiquinol oxidase subunit II,881513,PA14_47210
PA1318,cyoB,cytochrome o ubiquinol oxidase subunit I,881481,PA14_47190
PA1319,cyoC,cytochrome o ubiquinol oxidase subunit III,881595,PA14_47180
PA1320,cyoD,cytochrome o ubiquinol oxidase subunit IV,881604,PA14_47160
PA1321,cyoE,cytochrome o ubiquinol oxidase protein CyoE,881575,PA14_47150
PA1322,,probable TonB-dependent receptor,881585,PA14_47140
PA1323,,hypothetical protein,881674,PA14_47130
PA1324,,hypothetical protein,881686,PA14_47120
PA1324.1,P9,P9,6965617,
PA1325,,conserved hypothetical protein,880911,PA14_47110
PA1326,ilvA2,"threonine dehydratase, biosynthetic",878607,PA14_47100
PA1327,,probable protease,879366,PA14_47090
PA1328,,probable transcriptional regulator,879564,PA14_47080
PA1329,,conserved hypothetical protein,880896,PA14_47070
PA1330,,probable short-chain dehydrogenase,879433,PA14_47060
PA1331,,conserved hypothetical protein,882242,PA14_47040
PA1332,,hypothetical protein,878499,PA14_47030
PA1333,,hypothetical protein,879337,PA14_47010
PA1334,,probable oxidoreductase,879340,PA14_47000
PA1335,aauR,AauR,879263,PA14_46990
PA1336,aauS,AauS,879303,PA14_46980
PA1337,ansB,glutaminase-asparaginase,882207,PA14_46970
PA1338,ggt,gamma-glutamyltranspeptidase precursor,882262,PA14_46960
PA1339,aatP,AatP,879236,PA14_46950
PA1340,aatM,AatM,882230,PA14_46930
PA1341,aatQ,AatQ,883004,PA14_46920
PA1342,aatJ,AatJ,879321,PA14_46910
PA1343,,hypothetical protein,880995,PA14_46900
PA1344,,probable short-chain dehydrogenase,880999,PA14_46890
PA1345,,hypothetical protein,881063,PA14_46880
PA1346,,hypothetical protein,881103,PA14_46860
PA1347,,probable transcriptional regulator,881094,PA14_46850
PA1348,,hypothetical protein,881058,PA14_46840
PA1349,,conserved hypothetical protein,881044,PA14_46830
PA1350,,hypothetical protein,881036,PA14_46820
PA1351,,"probable sigma-70 factor, ECF subfamily",881077,PA14_46810
PA1352,,conserved hypothetical protein,881047,PA14_46800
PA1353,,hypothetical protein,881092,PA14_46780
PA1354,,hypothetical protein,881074,PA14_46770
PA1355,,hypothetical protein,881019,PA14_46760
PA1356,,hypothetical protein,881013,PA14_46750
PA1357,,conserved hypothetical protein,881015,PA14_46740
PA1358,,hypothetical protein,881117,PA14_46720
PA1359,,probable transcriptional regulator,881032,PA14_46710
PA1360,,conserved hypothetical protein,881986,PA14_46700
PA1361,norM,NorM,880959,PA14_46680
PA1362,,hypothetical protein,879672,PA14_46670
PA1363,,ECF sigma factor,880964,PA14_46660
PA1364,,probable transmembrane sensor,879987,PA14_46650
PA1365,,probable siderophore receptor,878106,PA14_46640
PA1366,,hypothetical protein,879681,
PA1367,,hypothetical protein,877784,PA14_46630
PA1368,,hypothetical protein,881140,
PA1369,,hypothetical protein,879565,
PA1370,,hypothetical protein,881106,
PA1371,,hypothetical protein,881116,
PA1372,,hypothetical protein,881109,
PA1373,fabF2,3-oxoacyl-acyl carrier protein synthase II,881126,PA14_46490
PA1374,,hypothetical protein,881125,PA14_46480
PA1375,pdxB,erythronate-4-phosphate dehydrogenase,881132,PA14_46470
PA1376,aceK,isocitrate dehydrogenase kinase/phosphatase,881156,PA14_46450
PA1377,,conserved hypothetical protein,881141,PA14_46440
PA1378,,hypothetical protein,881448,PA14_46430
PA1379,,probable short-chain dehydrogenase,881131,PA14_46420
PA1380,,probable transcriptional regulator,879384,PA14_46400
PA1381,,hypothetical protein,879319,
PA1382,,probable type II secretion system protein,879414,
PA1383,,hypothetical protein,883109,
PA1384,galE,UDP-glucose 4-epimerase,878496,
PA1385,,probable glycosyl transferase,879332,
PA1386,,probable ATP-binding component of ABC transporter,879352,
PA1387,,hypothetical protein,879767,
PA1388,,hypothetical protein,879401,
PA1389,,probable glycosyl transferase,879276,
PA1390,,probable glycosyl transferase,879419,
PA1391,,probable glycosyl transferase,879386,
PA1392,,hypothetical protein,879380,
PA1393,cysC,adenosine 5'-phosphosulfate (APS) kinase,877968,
PA1394,,hypothetical protein,877935,PA14_46390
PA1395,,hypothetical protein,879425,PA14_46380
PA1396,,probable two-component sensor,879363,PA14_46370
PA1397,,probable two-component response regulator,879330,PA14_46360
PA1398,,hypothetical protein,879290,PA14_46340
PA1399,,probable transcriptional regulator,879354,PA14_46330
PA1400,,probable pyruvate carboxylase,879389,PA14_46320
PA1401,,hypothetical protein,879374,PA14_46310
PA1402,,hypothetical protein,879486,PA14_46300
PA1403,,probable transcriptional regulator,883121,PA14_46290
PA1404,,hypothetical protein,883135,PA14_46280
PA1405,,probable helicase,879333,PA14_46270
PA1406,,hypothetical protein,879488,PA14_46260
PA1407,,hypothetical protein,879228,PA14_46250
PA1408,,hypothetical protein,879328,PA14_46240
PA1409,aphA,acetylpolyamine aminohydrolase,879295,PA14_46230
PA1410,,probable periplasmic spermidine/putrescine-binding protein,879430,PA14_46220
PA1411,,hypothetical protein,879320,PA14_46200
PA1412,,hypothetical protein,879323,PA14_46180
PA1413,,probable transcriptional regulator,879272,PA14_46170
PA1414,,hypothetical protein,879441,PA14_46160
PA1415,,hypothetical protein,879391,PA14_46150
PA1416,,conserved hypothetical protein,881714,PA14_46140
PA1417,,probable decarboxylase,881729,PA14_46120
PA1418,,probable sodium:solute symport protein,881711,PA14_46110
PA1419,,probable transporter,881764,PA14_46100
PA1420,,hypothetical protein,881752,PA14_46080
PA1421,gbuA,guanidinobutyrase,881747,PA14_46070
PA1422,gbuR,GbuR,881769,PA14_46060
PA1423,bdlA,BdlA,881734,PA14_46030
PA1424,,hypothetical protein,881772,PA14_46020
PA1425,,probable ATP-binding component of ABC transporter,881746,PA14_46010
PA1426,,hypothetical protein,,PA14_46000
PA1427,,hypothetical protein,,
PA1428,,conserved hypothetical protein,881799,PA14_45980
PA1429,,probable cation-transporting P-type ATPase,881803,PA14_45970
PA1430,lasR,transcriptional regulator LasR,881789,PA14_45960
PA1431,rsaL,regulatory protein RsaL,881782,PA14_45950
PA1432,lasI,autoinducer synthesis protein LasI,881777,PA14_45940
PA1433,,conserved hypothetical protein,881820,PA14_45930
PA1434,,hypothetical protein,881786,PA14_45920
PA1435,,probable Resistance-Nodulation-Cell Division (RND) efflux membrane fusion protein precursor,881806,PA14_45910
PA1436,,probable Resistance-Nodulation-Cell Division (RND) efflux transporter,881815,PA14_45890
PA1437,,probable two-component response regulator,881849,PA14_45880
PA1438,,probable two-component sensor,881858,PA14_45870
PA1439,,conserved hypothetical protein,881838,PA14_45850
PA1440,,hypothetical protein,881829,PA14_45840
PA1441,,putative flagellar hook-length control protein FliK,881825,PA14_45830
PA1442,,conserved hypothetical protein,881856,PA14_45810
PA1443,fliM,flagellar motor switch protein FliM,881860,PA14_45800
PA1444,fliN,flagellar motor switch protein FliN,881851,PA14_45790
PA1445,fliO,flagellar protein FliO,881854,PA14_45780
PA1446,fliP,flagellar biosynthetic protein FliP,881863,PA14_45770
PA1447,fliQ,flagellar biosynthetic protein FliQ,881853,PA14_45760
PA1448,fliR,flagellar biosynthetic protein FliR,881861,PA14_45740
PA1449,flhB,flagellar biosynthetic protein FlhB,881855,PA14_45720
PA1450,,conserved hypothetical protein,881870,PA14_45710
PA1451,,conserved hypothetical protein,881862,PA14_45700
PA1452,flhA,flagellar biosynthesis protein FlhA,881867,PA14_45680
PA1453,flhF,flagellar biosynthesis protein FlhF,881865,PA14_45660
PA1454,fleN,flagellar synthesis regulator FleN,881866,PA14_45640
PA1455,fliA,sigma factor FliA,881996,PA14_45630
PA1456,cheY,two-component response regulator CheY,882097,PA14_45620
PA1457,cheZ,chemotaxis protein CheZ,880861,PA14_45610
PA1458,,probable two-component sensor,882057,PA14_45590
PA1459,,probable methyltransferase,882084,PA14_45580
PA1460,motC,MotC,882162,PA14_45560
PA1461,motD,MotD,880913,PA14_45540
PA1462,,probable plasmid partitioning protein,882058,PA14_45520
PA1463,,hypothetical protein,882046,PA14_45510
PA1464,,probable purine-binding chemotaxis protein,882080,PA14_45500
PA1465,,hypothetical protein,880524,PA14_45480
PA1466,,hypothetical protein,881541,PA14_45470
PA1467,,hypothetical protein,880970,PA14_45460
PA1468,,hypothetical protein,880967,PA14_45450
PA1469,,hypothetical protein,879261,PA14_45440
PA1470,,probable short-chain dehydrogenase,880940,PA14_45430
PA1471,,hypothetical protein,881086,
PA1472,,conserved hypothetical protein,880987,
PA1473,,hypothetical protein,880972,PA14_45410
PA1474,,hypothetical protein,881069,PA14_45400
PA1475,ccmA,heme exporter protein CcmA,880978,PA14_45380
PA1476,ccmB,heme exporter protein CcmB,880948,PA14_45370
PA1477,ccmC,heme exporter protein CcmC,881087,PA14_45350
PA1478,,hypothetical protein,880954,PA14_45340
PA1479,ccmE,cytochrome C-type biogenesis protein CcmE,881024,PA14_45330
PA1480,ccmF,cytochrome C-type biogenesis protein CcmF,881004,PA14_45310
PA1481,ccmG,cytochrome C biogenesis protein CcmG,881065,PA14_45300
PA1482,ccmH,cytochrome C-type biogenesis protein CcmH,881029,PA14_45290
PA1483,cycH,cytochrome c-type biogenesis protein,881742,PA14_45280
PA1484,,probable transcriptional regulator,881626,PA14_45250
PA1485,,probable amino acid permease,881737,PA14_45240
PA1486,bapF,beta-peptidyl aminopeptidase,881720,PA14_45210
PA1487,,probable carbohydrate kinase,881649,PA14_45190
PA1488,,hypothetical protein,881669,PA14_45180
PA1489,,hypothetical protein,881656,PA14_45170
PA1490,,probable transcriptional regulator,881678,PA14_45150
PA1491,,probable transporter,881692,PA14_45130
PA1492,,hypothetical protein,881689,PA14_45120
PA1493,cysP,sulfate-binding protein of ABC transporter,881623,PA14_45110
PA1494,muiA,mucoidy inhibitor gene A,881859,PA14_45100
PA1495,,hypothetical protein,881646,PA14_45090
PA1496,,probable potassium channel,881708,PA14_45070
PA1497,,probable transporter,881639,PA14_45060
PA1498,pykF,pyruvate kinase I,881682,PA14_45050
PA1499,,conserved hypothetical protein,881633,PA14_45030
PA1500,,probable oxidoreductase,879491,PA14_45020
PA1501,,conserved hypothetical protein,879362,PA14_45010
PA1502,gcl,glyoxylate carboligase,879454,PA14_45000
PA1503,,hypothetical protein,879315,PA14_44990
PA1504,,probable transcriptional regulator,883051,PA14_44980
PA1505,moaA2,molybdopterin biosynthetic protein A2,883031,PA14_44970
PA1506,,hypothetical protein,883047,PA14_44960
PA1507,,probable transporter,879470,PA14_44950
PA1508,,hypothetical protein,883107,PA14_44930
PA1509,tplEi,"immunity protein, TplEi",879385,PA14_44920
PA1510,tplE,"type 6 PGAP1-like effector, TplE",879265,PA14_44910
PA1511,vgrG2a,VgrG2a,883127,PA14_44900
PA1512,hcpA,secreted protein Hcp,883081,"PA14_03240, PA14_43070, PA14_44890"
PA1513,,hypothetical protein,879285,PA14_44880
PA1514,,ureidoglycolate hydrolaseYbbT,879403,PA14_44860
PA1515,alc,allantoicase,883130,PA14_44850
PA1516,,hypothetical protein,877966,PA14_44840
PA1517,,conserved hypothetical protein,877650,PA14_44830
PA1518,,conserved hypothetical protein,879293,PA14_44820
PA1519,,probable transporter,883016,PA14_44800
PA1520,,probable transcriptional regulator,883099,PA14_44780
PA1521,,probable guanine deaminase,883114,PA14_44770
PA1522,,hypothetical protein,883006,PA14_44760
PA1523,xdhB,xanthine dehydrogenase,879250,PA14_44740
PA1524,xdhA,xanthine dehydrogenase,879268,PA14_44710
PA1525,alkB2,alkane-1-monooxygenase 2,879517,PA14_44700
PA1526,,probable transcriptional regulator,883115,PA14_44690
PA1527,,conserved hypothetical protein,879466,PA14_44680
PA1528,zipA,cell division protein ZipA,879535,PA14_44670
PA1529,lig,DNA ligase,879269,PA14_44660
PA1530,,hypothetical protein,879277,PA14_44650
PA1530.1,ffs,4.5S RNA,4179188,
PA1531,,hypothetical protein,883076,PA14_44640
PA1532,dnaX,DNA polymerase subunits gamma and tau,883094,PA14_44630
PA1533,,conserved hypothetical protein,882998,PA14_44620
PA1534,recR,recombination protein RecR,879372,PA14_44610
PA1535,,citronellyl-CoA dehydrogenase,879302,PA14_44590
PA1536,,conserved hypothetical protein,883002,PA14_44580
PA1537,,probable short-chain dehydrogenase,879400,PA14_44570
PA1538,,probable flavin-containing monooxygenase,880860,PA14_44560
PA1539,,hypothetical protein,883041,PA14_44540
PA1540,,conserved hypothetical protein,883069,PA14_44530
PA1541,,probable drug efflux transporter,883058,PA14_44520
PA1542,,hypothetical protein,883060,PA14_44510
PA1543,apt,adenine phosphoribosyltransferase,879394,PA14_44500
PA1544,anr,transcriptional regulator Anr,883009,PA14_44490
PA1545,,hypothetical protein,883044,PA14_44480
PA1546,hemN,oxygen-independent coproporphyrinogen III oxidase,883053,PA14_44470
PA1547,,hypothetical protein,883020,PA14_44460
PA1548,,conserved hypothetical protein,883072,PA14_44450
PA1549,,probable cation-transporting P-type ATPase,883015,PA14_44440
PA1550,,hypothetical protein,883057,PA14_44430
PA1551,,probable ferredoxin,883008,PA14_44420
PA1552,ccoP1,"Cytochrome c oxidase, cbb3-type, CcoP subunit",883043,PA14_44400
PA1552.1,ccoQ1,"Cytochrome c oxidase, cbb3-type, CcoQ subunit",9793392,PA14_44390
PA1553,ccoO1,"Cytochrome c oxidase, cbb3-type, CcoO subunit",883010,PA14_44380
PA1554,ccoN1,"Cytochrome c oxidase, cbb3-type, CcoN subunit",883001,PA14_44370
PA1555,ccoP2,"Cytochrome c oxidase, cbb3-type, CcoP subunit",883066,PA14_44360
PA1555.1,ccoQ2,"Cytochrome c oxidase, cbb3-type, CcoQ subunit",9793391,
PA1556,ccoO2,"Cytochrome c oxidase, cbb3-type, CcoO subunit",883049,PA14_44350
PA1557,ccoN2,"Cytochrome c oxidase, cbb3-type, CcoN subunit",879347,PA14_44340
PA1558,,hypothetical protein,879463,PA14_44320
PA1559,,hypothetical protein,883111,PA14_44311
PA1560,,hypothetical protein,,
PA1561,aer,aerotaxis receptor Aer,879271,PA14_44300
PA1562,acnA,aconitate hydratase 1,879412,PA14_44290
PA1563,,conserved hypothetical protein,879379,PA14_44280
PA1564,,conserved hypothetical protein,879520,PA14_44270
PA1565,pauB2,FAD-dependent oxidoreductase,879325,PA14_44260
PA1566,pauA3,Glutamylpolyamine synthetase,883083,PA14_44240
PA1567,,conserved hypothetical protein,879493,PA14_44210
PA1568,,conserved hypothetical protein,879376,PA14_44200
PA1569,,probable major facilitator superfamily (MFS) transporter,877922,PA14_44190
PA1570,,probable transcriptional regulator,880833,PA14_44180
PA1571,,hypothetical protein,877740,PA14_44170
PA1572,,conserved hypothetical protein,880903,PA14_44160
PA1573,,conserved hypothetical protein,877898,PA14_44150
PA1574,,conserved hypothetical protein,878174,PA14_44140
PA1575,,hypothetical protein,880887,PA14_44130
PA1576,,probable 3-hydroxyisobutyrate dehydrogenase,881949,PA14_44120
PA1577,,hypothetical protein,880905,PA14_44110
PA1578,,hypothetical protein,881876,PA14_44100
PA1579,,hypothetical protein,880926,PA14_44080
PA1580,gltA,citrate synthase,882117,PA14_44070
PA1581,sdhC,succinate dehydrogenase (C subunit),881880,PA14_44060
PA1582,sdhD,succinate dehydrogenase (D subunit),881923,PA14_44050
PA1583,sdhA,succinate dehydrogenase (A subunit),881934,PA14_44030
PA1584,sdhB,succinate dehydrogenase (B subunit),882034,PA14_44020
PA1585,sucA,2-oxoglutarate dehydrogenase (E1 subunit),881879,PA14_44010
PA1586,sucB,dihydrolipoamide succinyltransferase (E2 subunit),881930,PA14_44000
PA1587,lpd,dihydrolipoamide dehydrogenase Lpd,882090,PA14_43970
PA1588,sucC,succinyl-CoA synthetase beta chain,882016,PA14_43950
PA1589,sucD,succinyl-CoA synthetase alpha chain,882039,PA14_43940
PA1590,braB,branched chain amino acid transporter,882083,PA14_43920
PA1591,,hypothetical protein,881994,PA14_43910
PA1592,,hypothetical protein,882056,PA14_43900
PA1593,,hypothetical protein,882008,PA14_43890
PA1594,,hypothetical protein,882160,PA14_43880
PA1595,,hypothetical protein,881902,PA14_43870
PA1596,htpG,heat shock protein HtpG,881933,PA14_43850
PA1597,,hypothetical protein,879572,PA14_43840
PA1598,,conserved hypothetical protein,882137,PA14_43830
PA1599,,probable transcriptional regulator,881946,PA14_43820
PA1600,,probable cytochrome c,881945,PA14_43810
PA1601,,probable aldehyde dehydrogenase,881921,PA14_43790
PA1602,,probable oxidoreductase,881916,PA14_43780
PA1603,,probable transcriptional regulator,881931,PA14_43770
PA1604,,hypothetical protein,881924,PA14_43760
PA1605,,hypothetical protein,881963,PA14_43740
PA1606,,hypothetical protein,881958,PA14_43730
PA1607,,conserved hypothetical protein,881971,PA14_43720
PA1608,,probable chemotaxis transducer,881919,PA14_43710
PA1609,fabB,beta-ketoacyl-ACP synthase I,881925,PA14_43690
PA1610,fabA,beta-hydroxydecanoyl-ACP dehydrase,881984,PA14_43680
PA1611,,hybrid sensor kinase,881906,PA14_43670
PA1612,,hypothetical protein,881979,PA14_43660
PA1613,,hypothetical protein,881897,PA14_43650
PA1614,gpsA,"glycerol-3-phosphate dehydrogenase, biosynthetic",881904,PA14_43640
PA1615,,probable lipase,881975,PA14_43630
