PA14_ID,Name,Product.Name,GeneID.(PAO1),PAO1_ID
PA14_14340,,SAM-dependent methyltransferase,879836,PA3840
PA14_14360,,sodium:sulfate symporter,879860,PA3839
PA14_14370,,ABC-transporter ATP-binding component,879859,PA3838
PA14_14380,,ABC transporter permease,879812,PA3837
PA14_14390,,"ABC-type transport protein, periplasmic c",879811,PA3836
PA14_14400,,hypothetical protein,,
PA14_14420,,hypothetical protein,,
PA14_14430,,hypothetical protein,879906,PA3835
PA14_14440,valS,valyl-tRNA synthetase,879905,PA3834
PA14_14450,,hypothetical protein,879883,PA3833
PA14_14460,holC,DNA polymerase III subunit chi,879882,PA3832
PA14_14470,pepA,leucyl aminopeptidase,879865,PA3831
PA14_14480,,transcriptional regulator,879864,PA3830
PA14_14490,,hydrolase,879879,PA3829
PA14_14500,,hypothetical protein,879878,PA3828
PA14_14510,,hypothetical protein,879872,PA3827
PA14_14520,,hypothetical protein,879871,PA3826
PA14_14530,,hypothetical protein,879846,PA3825
PA14_14540,,hypothetical protein,,
PA14_14550,,hypothetical protein,,
PA14_14560,,hypothetical protein,,
PA14_14570,,tRNA-Leu,,
PA14_14590,queA,S-adenosylmethionine--tRNA ribosyltransferase-isomerase,879887,PA3824
PA14_14600,tgt,queuine tRNA-ribosyltransferase,879886,PA3823
PA14_14610,yajC,preprotein translocase subunit YajC,878280,PA3822
PA14_14630,secD,preprotein translocase subunit SecD,878279,PA3821
PA14_14650,secF,preprotein translocase subunit SecF,879904,PA3820
PA14_14660,,hypothetical protein,879909,PA3819
PA14_14680,,extragenic suppressor protein SuhB,879908,PA3818
PA14_14690,,methyltransferase,879927,PA3817
PA14_14700,cysE,serine O-acetyltransferase,879926,PA3816
PA14_14710,,Rrf2 family protein,879919,PA3815
PA14_14730,iscS,cysteine desulfurase,879918,PA3814
PA14_14740,,scaffold protein,879917,PA3813
PA14_14750,,iron-binding protein IscA,879916,PA3812
PA14_14770,hscB,co-chaperone HscB,879937,PA3811
PA14_14780,hscA,chaperone protein HscA,879936,PA3810
PA14_14800,fdx2,ferredoxin 2Fe-2S,879944,PA3809
PA14_14810,,hypothetical protein,879893,PA3808
PA14_14820,ndk,nucleoside diphosphate kinase,879892,PA3807
PA14_14830,,hypothetical protein,879171,PA3806
PA14_14850,pilF,type 4 fimbrial biogenesis protein PilF,879170,PA3805
PA14_14860,,hypothetical protein,879054,PA3804
PA14_14880,ispG,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,879053,PA3803
PA14_14890,hisS,histidyl-tRNA synthetase,878330,PA3802
PA14_14900,,hypothetical protein,878329,PA3801
PA14_14910,,hypothetical protein,878230,PA3800
PA14_14930,engA,GTP-binding protein EngA,878229,PA3799
PA14_14940,,aminotransferase,880242,PA3798
PA14_14960,,hypothetical protein,880241,PA3797
PA14_14975,,hypothetical protein,879950,PA3796
PA14_14990,,oxidoreductase,879949,PA3795
PA14_15000,,hypothetical protein,879124,PA3794
PA14_15020,,hypothetical protein,879123,PA3793
PA14_15030,leuA,2-isopropylmalate synthase,879941,PA3792
PA14_15050,,hypothetical protein,879940,PA3791
PA14_15070,oprC,outer membrane copper receptor OprC,879091,PA3790
PA14_15080,,hypothetical protein,879090,PA3789
PA14_15090,,hypothetical protein,880586,PA3788
PA14_15100,,hypothetical protein,880585,PA3787
PA14_15110,,hypothetical protein,879118,PA3786
PA14_15120,,hypothetical protein,879117,PA3785
PA14_15130,,hypothetical protein,879103,PA3784
PA14_15140,,hypothetical protein,879102,PA3783
PA14_15150,,transcriptional regulator,879166,PA3782
PA14_15160,,hypothetical protein,,
PA14_15180,,transporter,879165,PA3781
PA14_15190,,hypothetical protein,879149,PA3780
PA14_15200,,hypothetical protein,879148,PA3779
PA14_15210,,LysR family transcriptional regulator,878334,PA3778
PA14_15230,xseA,exodeoxyribonuclease VII large subunit,878333,PA3777
PA14_15240,,LysR family transcriptional regulator,880479,PA3776
PA14_15250,,hypothetical protein,880478,PA3775
PA14_15260,,acetylpolyamine aminohydrolase,880599,PA3774
PA14_15270,,hypothetical protein,880598,PA3773
PA14_15280,,hypothetical protein,880580,PA3772
PA14_15290,,transcriptional regulator,880579,PA3771
PA14_15310,guaB,inosine 5'-monophosphate dehydrogenase,880535,PA3770
PA14_15340,guaA,GMP synthase,880552,PA3769
PA14_15350,,integrase,,
PA14_15360,,hypothetical protein,,
PA14_15370,,hypothetical protein,,
PA14_15380,repA,"replicative helicase, RepA",,
PA14_15400,,"replication protein, RepC",,
PA14_15410,,,,
PA14_15420,,,,
PA14_15430,,"resolvase, essential for transposition",879795,PA3867
PA14_15435,,hypothetical protein,,
PA14_15445,merE,mercury resistance protein,,
PA14_15450,merD,transcriptional regulator MerD,,
PA14_15460,merA,mercuric reductase,,
PA14_15470,merP,"periplasmic mercuric ion binding protein, MerP",,
PA14_15475,merT,mercuric transport protein,,
PA14_15480,merR,transcriptional regulator MerR,,
PA14_15490,,hypothetical protein,,
PA14_15500,,"oriT-binding protein, TraK",,
PA14_15510,traJ,conjugal transfer relaxosome component TraJ,,
PA14_15520,trbJ,conjugal transfer protein TrbJ,,
PA14_15530,,entry/exclusion protein TrbK,,
PA14_15540,,mating pair formation protein TrbL,,
PA14_15560,,hypothetical protein,,
PA14_15570,,hypothetical protein,,
PA14_15580,,"Type II restriction enzyme, methylase subunit",,
PA14_15590,,hypothetical protein,,
PA14_15600,,hypothetical protein,,
PA14_15610,,hypothetical protein,,
PA14_15620,,oxidoreductase,,
PA14_15630,,hypothetical protein,,
PA14_15650,,hypothetical protein,,
PA14_15660,,oxidoreductase,,
PA14_15670,,metallo-oxidoreductase,880551,PA3768
PA14_15680,,hypothetical protein,880561,PA3767
PA14_15700,,amino acid permease,880560,PA3766
PA14_15710,,hypothetical protein,880531,PA3765
PA14_15720,,transglycosylase,880530,PA3764
PA14_15740,purL,phosphoribosylformylglycinamidine synthase,879752,PA3763
PA14_15750,,hypothetical protein,,
PA14_15770,,hypothetical protein,879751,PA3762
PA14_15780,,PTS system N-acetylglucosamine-specific IIBC component,880500,PA3761
PA14_15790,,phosphoenolpyruvate-protein phosphotransferase,880499,PA3760
PA14_15810,,aminotransferase,880472,PA3759
PA14_15820,,N-acetylglucosamine-6-phosphate deacetylase,880471,PA3758
PA14_15830,,GntR family transcriptional regulator,880315,PA3757
PA14_15840,,hypothetical protein,880314,PA3756
PA14_15850,,hypothetical protein,880432,PA3755
PA14_15860,,hypothetical protein,880431,PA3754
PA14_15870,,hypothetical protein,880438,PA3753
PA14_15880,,hypothetical protein,880437,PA3752
PA14_15890,purT,phosphoribosylglycinamide formyltransferase 2,880455,PA3751
PA14_15910,,hypothetical protein,880454,PA3750
PA14_15920,,major facilitator transporter,880305,PA3749
PA14_15930,,hemolysin,880304,PA3748
PA14_15940,,hypothetical protein,880311,PA3747
PA14_15960,ffh,signal recognition particle protein Ffh,880310,PA3746
PA14_15970,rpsP,30S ribosomal protein S16,880510,PA3745
PA14_15980,rimM,16S rRNA-processing protein RimM,880358,PA3744
PA14_15990,trmD,tRNA (guanine-N(1)-)-methyltransferase,880357,PA3743
PA14_16000,rplS,50S ribosomal protein L19,880339,PA3742
PA14_16010,,hypothetical protein,880338,PA3741
PA14_16020,,hypothetical protein,880320,PA3740
PA14_16030,,sodium/hydrogen antiporter,880319,PA3739
PA14_16040,xerD,site-specific tyrosine recombinase XerD,880331,PA3738
PA14_16050,dsbC,thiol:disulfide interchange protein DsbC,880330,PA3737
PA14_16070,hom,homoserine dehydrogenase,880337,PA3736
PA14_16090,thrC,threonine synthase,880336,PA3735
PA14_16100,,hypothetical protein,880327,PA3734
PA14_16110,,hypothetical protein,,
PA14_16130,,hypothetical protein,880326,PA3733
PA14_16140,,hypothetical protein,880303,PA3732
PA14_16150,,hypothetical protein,880302,PA3731
PA14_16160,,hypothetical protein,880399,PA3730
PA14_16180,,hypothetical protein,880398,PA3729
PA14_16190,,hypothetical protein,880349,PA3728
PA14_16200,,hypothetical protein,880348,PA3727
PA14_16210,,hypothetical protein,880374,PA3726
PA14_16220,recJ,single-stranded-DNA-specific exonuclease RecJ,880369,PA3725
PA14_16250,lasB,elastase LasB,880368,PA3724
PA14_16260,,FMN oxidoreductase,880373,PA3723
PA14_16270,,hypothetical protein,880372,PA3722
PA14_16280,,transcriptional regulator,880362,PA3721
PA14_16290,,hypothetical protein,880361,PA3720
PA14_16300,,hypothetical protein,880376,PA3719
PA14_16310,,MFS permease,880375,PA3718
PA14_16320,,"peptidyl-prolyl cis-trans isomerase, FkbP-type",880386,PA3717
PA14_16330,,hypothetical protein,880385,PA3716
PA14_16340,,hypothetical protein,880345,PA3715
PA14_16350,,two-component response regulator,880344,PA3714
PA14_16360,,hypothetical protein,880404,PA3713
PA14_16370,,hypothetical protein,880403,PA3712
PA14_16380,,LysR family transcriptional regulator,879120,PA3711
PA14_16390,,GMC-type oxidoreductase,879119,PA3710
PA14_16410,,MFS transporter,880410,PA3709
PA14_16430,wspA,chemotaxis transducer,880409,PA3708
PA14_16440,,hypothetical protein,878239,PA3707
PA14_16450,wspC,methyltransferase,878238,PA3706
PA14_16460,wspD,CheW domain-containing protein,880395,PA3705
PA14_16470,,chemotaxis sensor/effector fusion protein,880394,PA3704
PA14_16480,wspF,chemotaxis-specific methylesterase,878338,PA3703
PA14_16500,wspR,two-component response regulator,878337,PA3702
PA14_16510,,peptide chain release factor 2,,
PA14_16530,lysS,lysyl-tRNA synthetase,880383,PA3700
PA14_16550,,TetR family transcriptional regulator,879135,PA3699
PA14_16560,,lipoprotein,879134,PA3698
PA14_16580,,hypothetical protein,879094,PA3697
PA14_16590,,hypothetical protein,879093,PA3696
PA14_16600,,alpha/beta hydrolase,879089,PA3695
PA14_16610,,hypothetical protein,879088,PA3694
PA14_16620,,hypothetical protein,879105,PA3693
PA14_16630,,"outer membrane protein, OmpA",879104,PA3692
PA14_16640,,lipoprotein,879137,PA3691
PA14_16660,,metal-transporting P-type ATPase,879136,PA3690
PA14_16670,,transcriptional regulator CadR,879126,PA3689
PA14_16680,,hypothetical protein,879125,PA3688
PA14_16690,ppc,phosphoenolpyruvate carboxylase,879083,PA3687
PA14_16700,adk,adenylate kinase,879082,PA3686
PA14_16710,,hypothetical protein,879145,PA3685
PA14_16720,pemA,PemA,879144,PA3684
PA14_16730,,hypothetical protein,879157,PA3683
PA14_16740,,hypothetical protein,879156,PA3682
PA14_16750,,hypothetical protein,879151,PA3681
PA14_16770,,hypothetical protein,879150,PA3680
PA14_16780,,hypothetical protein,880595,PA3679
PA14_16790,,TetR family transcriptional regulator,880594,PA3678
PA14_16800,,efflux transmembrane protein,879603,PA3677
PA14_16820,,efflux transmembrane protein,879602,PA3676
PA14_16830,,hypothetical protein,879774,PA3675
PA14_16840,,lipoprotein,879773,PA3674
PA14_16860,plsB,glycerol-3-phosphate acyltransferase,880591,PA3673
PA14_16870,,ABC transporter ATP-binding protein,880590,PA3672
PA14_16880,,ABC transporter permease,879769,PA3671
PA14_16890,,auxiliary component of ABC transporter,879768,PA3670
PA14_16910,,hypothetical protein,879155,PA3669
PA14_16920,,hypothetical protein,879154,PA3668
PA14_16930,,pyridoxal-phosphate dependent protein,880538,PA3667
PA14_16950,dapD,tetrahydrodipicolinate succinylase,880584,PA3666
PA14_16960,,amino acid transporter LysE,880583,PA3665
PA14_16970,,arsenate reductase,880544,PA3664
PA14_16980,,hypothetical protein,880543,PA3663
PA14_16990,,hypothetical protein,880575,PA3662
PA14_17000,,hypothetical protein,880574,PA3661
PA14_17010,,Na(+)/H(+) exchanger protein,880571,PA3660
PA14_17030,,succinyldiaminopimelate transaminase,880570,PA3659
PA14_17040,glnD,PII uridylyl-transferase,880565,PA3658
PA14_17050,map,methionine aminopeptidase,880564,PA3657
PA14_17060,rpsB,30S ribosomal protein S2,880593,PA3656
PA14_17070,tsf,elongation factor Ts,880592,PA3655
PA14_17080,pyrH,uridylate kinase,880536,PA3654
PA14_17100,frr,ribosome recycling factor,880554,PA3653
PA14_17110,uppS,UDP pyrophosphate synthetase,880553,PA3652
PA14_17120,cdsA,phosphatidate cytidylyltransferase,880465,PA3651
PA14_17130,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,880464,PA3650
PA14_17140,,membrane-associated zinc metalloprotease,880507,PA3649
PA14_17150,,outer membrane antigen,880506,PA3648
PA14_17170,,hypothetical protein,880526,PA3647
PA14_17180,lpxD,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase,880525,PA3646
PA14_17190,fabZ,(3R)-hydroxymyristoyl-ACP dehydratase,880494,PA3645
PA14_17210,lpxA,UDP-N-acetylglucosamine acyltransferase,880493,PA3644
PA14_17220,lpxB,lipid-A-disaccharide synthase,880521,PA3643
PA14_17230,rnhB,ribonuclease HII,880498,PA3642
PA14_17250,,amino acid permease,880497,PA3641
PA14_17260,dnaE,DNA polymerase III subunit alpha,880490,PA3640
PA14_17270,accA,acetyl-CoA carboxylase carboxyltransferase subunit alpha,880489,PA3639
PA14_17280,,hypothetical protein,880547,PA3638
PA14_17290,pyrG,CTP synthetase,880546,PA3637
PA14_17310,kdsA,2-dehydro-3-deoxyphosphooctonate aldolase,880428,PA3636
PA14_17320,eno,phosphopyruvate hydratase,880453,PA3635
PA14_17330,,hypothetical protein,880452,PA3634
PA14_17340,ispD,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,880461,PA3633
PA14_17350,,hypothetical protein,880460,PA3632
PA14_17370,,inner membrane protein,880467,PA3631
PA14_17380,gfnR,glutathione-dependent formaldehyde neutralization regulator GfnR,880466,PA3630
PA14_17400,adhC,alcohol dehydrogenase,880459,PA3629
PA14_17410,,esterase,880458,PA3628
PA14_17420,ispF,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",880484,PA3627
PA14_17440,truD,tRNA pseudouridine synthase D,880483,PA3626
PA14_17450,surE,stationary phase survival protein SurE,880442,PA3625
PA14_17460,pcm,protein-L-isoaspartate O-methyltransferase,880441,PA3624
PA14_17470,,hypothetical protein,880422,PA3623
PA14_17480,rpoS,RNA polymerase sigma factor RpoS,880421,PA3622
PA14_17490,fdxA,ferredoxin I,880230,PA3621
PA14_17500,mutS,DNA mismatch repair protein MutS,880229,PA3620
PA14_17510,,hypothetical protein,880188,PA3619
PA14_17520,,hypothetical protein,880187,PA3618
PA14_17530,recA,recombinase A,880173,PA3617
PA14_17540,recX,recombination regulator RecX,880244,PA3616
PA14_17550,,hypothetical protein,880243,PA3615
PA14_17570,,hypothetical protein,880123,PA3614
PA14_17580,,hypothetical protein,880122,PA3613
PA14_17590,,hypothetical protein,880232,PA3612
PA14_17600,,hypothetical protein,880231,PA3611
PA14_17610,potD,polyamine ABC transporter,880132,PA3610
PA14_17620,potC,polyamine transport protein PotC,880131,PA3609
PA14_17630,potB,polyamine transport protein PotB,880430,PA3608
PA14_17640,potA,polyamine transport protein PotA,880429,PA3607
PA14_17650,,hypothetical protein,880195,PA3606
PA14_17660,,hypothetical protein,880194,PA3605
PA14_17670,,LuxR family transcriptional regulator,880150,PA3604
PA14_17675,dgkA,diacylglycerol kinase,880149,PA3603
PA14_17690,,hypothetical protein,880138,PA3602
PA14_17700,rpmE2,50S ribosomal protein L31,880137,PA3601
PA14_17710,rpmJ,50S ribosomal protein L36,880142,PA3600
PA14_17720,,LuxR family transcriptional regulator,880141,PA3599
PA14_17730,,hypothetical protein,880203,PA3598
PA14_17740,,amino acid ABC transporter permease,880202,PA3597
PA14_17760,,methylated-DNA--protein-cysteine methyltransferase,880130,PA3596
PA14_17780,,major facilitator transporter,880129,PA3595
PA14_17790,,LysR family transcriptional regulator,880211,PA3594
PA14_17810,,acyl-CoA dehydrogenase,880210,PA3593
PA14_17820,,hypothetical protein,880219,PA3592
PA14_17850,,enoyl-CoA hydratase,880218,PA3591
PA14_17860,,3-hydroxyacyl-CoA dehydrogenase,880207,PA3590
PA14_17880,,acetyl-CoA acetyltransferase,880206,PA3589
PA14_17890,,porin,880221,PA3588
PA14_17900,metR,transcriptional regulator MetR,880220,PA3587
PA14_17910,,alpha/beta hydrolase,880174,PA3586
PA14_17920,glpM,membrane protein GlpM,880180,PA3585
PA14_17930,glpD,glycerol-3-phosphate dehydrogenase,880179,PA3584
PA14_17940,glpR,glycerol-3-phosphate regulon repressor,880163,PA3583
PA14_17960,glpK,glycerol kinase,880162,PA3582
PA14_17980,glpF,glycerol uptake facilitator protein,880152,PA3581
PA14_17990,,hypothetical protein,880151,PA3580
PA14_18010,,glycerol kinase,880178,PA3579
PA14_18020,,PhzF family phenazine biosynthesis protein,880177,PA3578
PA14_18040,,hypothetical protein,879658,PA3577
PA14_18050,,hypothetical protein,879657,PA3576
PA14_18060,,hypothetical protein,880184,PA3575
PA14_18070,,periplasmic metal-binding protein,,
PA14_18080,,TetR family transcriptional regulator,880183,PA3574
PA14_18090,,major facilitator subfamily transporter protein,878819,PA3573
PA14_18100,,hypothetical protein,878818,PA3572
PA14_18110,mmsR,transcriptional regulator MmsR,878815,PA3571
PA14_18120,mmsA,methylmalonate-semialdehyde dehydrogenase,878814,PA3570
PA14_18140,mmsB,3-hydroxyisobutyrate dehydrogenase,879097,PA3569
PA14_18150,,acetyl-coa synthetase,878696,PA3568
PA14_18160,,oxidoreductase,878695,PA3567
PA14_18180,,hypothetical protein,878685,PA3566
PA14_18200,,LysR family transcriptional regulator,878684,PA3565
PA14_18210,,TatD family deoxyribonuclease,878246,PA3564
PA14_18230,fruR,DNA-binding transcriptional regulator FruR,878245,PA3563
PA14_18250,,phosphotransferase system enzyme I,880225,PA3562
PA14_18260,fruK,1-phosphofructokinase,880224,PA3561
PA14_18275,fruA,"phosphotransferase system, fructose-specific IIBC component",879828,PA3560
PA14_18300,,nucleotide sugar dehydrogenase,879827,PA3559
PA14_18310,,hypothetical protein,879133,PA3558
PA14_18320,,hypothetical protein,879132,PA3557
PA14_18330,arnT,4-amino-4-deoxy-L-arabinose transferase,879122,PA3556
PA14_18340,,hypothetical protein,879121,PA3555
PA14_18350,,bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase,878473,PA3554
PA14_18360,,glycosyl transferase family protein,878472,PA3553
PA14_18370,,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,879143,PA3552
PA14_18380,algA,mannose-1-phosphate guanylyltransferase,879142,PA3551
PA14_18410,algF,alginate o-acetyltransferase AlgF,878717,PA3550
PA14_18430,algJ,alginate o-acetyltransferase AlgJ,878716,PA3549
PA14_18450,algI,alginate o-acetyltransferase AlgI,877959,PA3548
PA14_18470,algL,poly(beta-D-mannuronate) lyase,878552,PA3547
PA14_18480,algX,alginate biosynthesis protein AlgX,878551,PA3546
PA14_18500,algG,alginate-c5-mannuronan-epimerase AlgG,879839,PA3545
PA14_18510,algE,alginate production outer membrane protein AlgE,879838,PA3544
PA14_18520,algK,alginate biosynthetic protein AlgK,878771,PA3543
PA14_18550,alg44,alginate biosynthesis protein Alg44,878770,PA3542
PA14_18565,alg8,alginate biosynthesis protein Alg8,879005,PA3541
PA14_18580,algD,GDP-mannose 6-dehydrogenase AlgD,879004,PA3540
PA14_18590,,hypothetical protein,879009,PA3539
PA14_18600,,ABC transporter ATP-binding protein,879008,PA3538
PA14_18610,argF,ornithine carbamoyltransferase,878793,PA3537
PA14_18620,,hypothetical protein,878980,PA3536
PA14_18630,,serine protease,878979,PA3535
PA14_18640,,oxidoreductase,880012,PA3534
PA14_18650,,hypothetical protein,880011,PA3533
PA14_18660,,hypothetical protein,879027,PA3532
PA14_18670,bfrB,bacterioferritin,879026,PA3531
PA14_18680,,hypothetical protein,879943,PA3530
PA14_18690,,peroxidase,879942,PA3529
PA14_18700,rnt,ribonuclease T,879810,PA3528
PA14_18710,pyrC,dihydroorotase,879809,PA3527
PA14_18720,,OmpA family membrane protein,878873,PA3526
PA14_18740,argG,argininosuccinate synthase,878872,PA3525
PA14_18750,gloA1,lactoylglutathione lyase,879791,PA3524
PA14_18760,,RND efflux membrane fusion protein,879790,PA3523
PA14_18780,,RND efflux transporter,878906,PA3522
PA14_18790,,outer membrane efflux protein,878905,PA3521
PA14_18800,,hypothetical protein,878877,PA3520
PA14_18810,,hypothetical protein,878876,PA3519
PA14_18820,,hypothetical protein,879064,PA3518
PA14_18830,,adenylosuccinate lyase,879063,PA3517
PA14_18850,,adenylosuccinate lyase,879993,PA3516
PA14_18860,,hypothetical protein,879992,PA3515
PA14_18870,,hypothetical protein,879070,PA3496
PA14_18880,nth,endonuclease III,879069,PA3495
PA14_18890,,electron transport complex protein RsxE,879980,PA3494
PA14_18900,,hypothetical protein,879979,PA3493
PA14_18910,,hypothetical protein,879870,PA3492
PA14_18920,,electron transport complex protein RnfC,879869,PA3491
PA14_18930,,electron transport complex protein RnfB,879986,PA3490
PA14_18950,,Na(+)-translocating NADH-quinone reductase subunit E,879985,PA3489
PA14_18960,,hypothetical protein,880041,PA3488
PA14_18970,pldA,phospholipase D,880040,PA3487
PA14_18985,,hypothetical protein,879939,PA3486
PA14_19010,,hypothetical protein,879938,PA3485
PA14_19020,,hypothetical protein,880027,PA3484
PA14_19030,,hypothetical protein,880026,PA3483
PA14_19050,metG,methionyl-tRNA synthetase,878831,PA3482
PA14_19065,,hypothetical protein,878282,PA3481
PA14_19090,dcd,deoxycytidine triphosphate deaminase,878281,PA3480
PA14_19100,rhlA,rhamnosyltransferase chain A,878955,PA3479
PA14_19110,rhlB,rhamnosyltransferase chain B,878954,PA3478
PA14_19120,rhlR,transcriptional regulator RhlR,878968,PA3477
PA14_19130,rhlI,autoinducer synthesis protein RhlI,878967,PA3476
PA14_19140,pheC,cyclohexadienyl dehydratase,878976,PA3475
PA14_19150,,hypothetical protein,878975,PA3474
PA14_19160,,hypothetical protein,878939,PA3473
PA14_19170,,hypothetical protein,878938,PA3472
PA14_19190,,malate dehydrogenase,879925,PA3471
PA14_19205,,hypothetical protein,879924,PA3470
PA14_19210,,hypothetical protein,878869,PA3469
PA14_19230,,hypothetical protein,878868,PA3468
PA14_19270,,MFS transporter,877977,PA3467
PA14_19290,,ATP-dependent RNA helicase,877976,PA3466
PA14_19310,,hypothetical protein,877842,PA3465
PA14_19320,,hypothetical protein,877841,PA3464
PA14_19330,,hypothetical protein,877735,PA3463
PA14_19340,,sensor/response regulator hybrid,877734,PA3462
PA14_19350,,hypothetical protein,877869,PA3461
PA14_19360,,GNAT family acetyltransferase,877868,PA3460
PA14_19370,,asparagine synthetase,879711,PA3459
PA14_19380,,transcriptional regulator,879710,PA3458
PA14_19390,,hypothetical protein,877844,PA3457
PA14_19400,mnmC,5-methylaminomethyl-2-thiouridine methyltransferase,877843,PA3456
PA14_19410,,hypothetical protein,878853,PA3455
PA14_19430,,acyl-CoA thiolase,878852,PA3454
PA14_19450,,hypothetical protein,879030,PA3453
PA14_19470,mqoA,malate:quinone oxidoreductase,879029,PA3452
PA14_19480,,hypothetical protein,877871,PA3451
PA14_19490,lsfA,1-Cys peroxiredoxin LsfA,877870,PA3450
PA14_19500,,hypothetical protein,879114,PA3449
PA14_19510,,ABC transporter permease,879113,PA3448
PA14_19520,,ABC transporter ATP-binding protein,879616,PA3447
PA14_19530,,NAD(P)H-dependent FMN reductase,879615,PA3446
PA14_19540,,hypothetical protein,879164,PA3445
PA14_19560,ssuD,alkanesulfonate monooxygenase,879163,PA3444
PA14_19570,,ABC transporter permease,879101,PA3443
PA14_19580,ssuB,aliphatic sulfonates transport ATP-binding subunit,879100,PA3442
PA14_19590,,molybdopterin-binding protein,879139,PA3441
PA14_19600,,hypothetical protein,,
PA14_19610,,hypothetical protein,879138,PA3440
PA14_19620,folX,"D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase",877686,PA3439
PA14_19630,folE1,GTP cyclohydrolase I,878765,PA3438
PA14_19640,,short chain dehydrogenase,878764,PA3437
PA14_19650,,hypothetical protein,879041,PA3436
PA14_19660,,flavodoxin,879040,PA3435
PA14_19670,,LysR family transcriptional regulator,878899,PA3433
PA14_19680,,hypothetical protein,878984,PA3432
PA14_19690,,hypothetical protein,878983,PA3431
PA14_19700,,aldolase,878949,PA3430
PA14_19710,,alpha/beta hydrolase,878948,PA3429
PA14_19720,,hypothetical protein,878923,PA3428
PA14_19730,,oxidoreductase,878922,PA3427
PA14_19740,,enoyl-CoA hydratase,879087,PA3426
PA14_19750,,hypothetical protein,879086,PA3425
PA14_19770,,hypothetical protein,878863,PA3424
PA14_19800,,AraC family transcriptional regulator,878862,PA3423
PA14_19810,,hypothetical protein,878811,PA3422
PA14_19830,,hypothetical protein,878810,PA3421
PA14_19850,,transcriptional regulator,878745,PA3420
PA14_19860,,hypothetical protein,878744,PA3419
PA14_19870,ldh,leucine dehydrogenase,879877,PA3418
PA14_19900,,pyruvate dehydrogenase E1 component subunit alpha,879876,PA3417
PA14_19910,,"pyruvate dehydrogenase E1 component, beta chain",878692,PA3416
PA14_19920,,branched-chain alpha-keto acid dehydrogenase subunit E2,878691,PA3415
PA14_19930,,hypothetical protein,,
PA14_19940,,hypothetical protein,878734,PA3414
PA14_19950,,hypothetical protein,878733,PA3413
PA14_19960,,hypothetical protein,879797,PA3412
PA14_19970,,hypothetical protein,879796,PA3411
PA14_19990,,RNA polymerase ECF-subfamily sigma-70 factor,878698,PA3410
PA14_20000,,transmembrane sensor,878697,PA3409
PA14_20010,hasR,heme uptake outer membrane receptor HasR,879855,PA3408
PA14_20020,hasAp,heme acquisition protein HasAp,879854,PA3407
PA14_20030,hasD,transport protein HasD,878849,PA3406
PA14_20040,hasE,metalloprotease secretion protein,880019,PA3405
PA14_20050,,outer membrane protein,880018,PA3404
PA14_20060,,hypothetical protein,,
PA14_20070,,hypothetical protein,879961,PA3403
PA14_20080,,hypothetical protein,879960,PA3402
PA14_20100,,hypothetical protein,879901,PA3401
PA14_20110,,hypothetical protein,879900,PA3400
PA14_20120,,hypothetical protein,879955,PA3399
PA14_20130,,LysR family transcriptional regulator,879954,PA3398
PA14_20140,fpr,ferredoxin--NADP+ reductase,879913,PA3397
PA14_20150,nosL,NosL protein,879912,PA3396
PA14_20170,nosY,NosY protein,879978,PA3395
PA14_20180,nosF,NosF protein,879977,PA3394
PA14_20190,nosD,copper ABC transporter periplasmic substrate-binding protein,880013,PA3393
PA14_20200,nosZ,nitrous-oxide reductase,879824,PA3392
PA14_20230,nosR,regulatory protein NosR,879823,PA3391
PA14_20240,,ring-cleaving dioxygenase,880039,PA3389
PA14_20250,,hypothetical protein,880038,PA3390
PA14_20260,,hypothetical protein,880034,PA3388
PA14_20270,rhlG,beta-ketoacyl reductase,880033,PA3387
PA14_20280,,hypothetical protein,878715,PA3386
PA14_20290,,DNA binding-protein,878714,PA3385
PA14_20300,phnC,ABC phosphonate transporter ATP-binding protein,880003,PA3384
PA14_20320,phnD,phosphonate ABC transporter substrate-binding protein,880002,PA3383
PA14_20330,phnE,phosphonate ABC transporter permease,878143,PA3382
PA14_20350,phnF,transcriptional regulator,878142,PA3381
PA14_20360,phnG,phosphonate metabolism protein PhnG,878394,PA3380
PA14_20370,phnH,carbon-phosphorus lyase complex subunit,878393,PA3379
PA14_20380,phnI,hypothetical protein,877808,PA3378
PA14_20390,phnJ,hypothetical protein,877807,PA3377
PA14_20400,phnK,phosphonate C-P lyase system protein PhnK,879948,PA3376
PA14_20420,phnL,phosphonate ABC transporter ATPase,879947,PA3375
PA14_20430,phnM,phosphonate metabolism protein,877999,PA3374
PA14_20440,phnN,phosphonate transport ATP-binding protein,877998,PA3373
PA14_20450,phnP,carbon-phosphorus lyase complex accessory protein,879551,PA3372
PA14_20460,,hypothetical protein,879550,PA3371
PA14_20470,,hypothetical protein,878449,PA3370
PA14_20480,,hypothetical protein,878448,PA3369
