Cluster_ID,PA14_ID (for reference),Gene description (PATRIC),Turner K.H. et al 2015,Lee S.A. et al 2015,Skurnik D. et al 2013,Liberati N.T. et al 2006,This study
3121,PA14_67490,"Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)",E,E,E,E,E
7134,PA14_67600,Glutamine synthetase type I (EC 6.3.1.2),E,E,E,E,E
6650,PA14_68360,3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41),E,,,,E
9243,PA14_68955,2-polyprenylphenol hydroxylase,E,E,E,,E
8790,PA14_68980,2-polyprenyl-6-methoxyphenol hydroxylase,E,E,E,,E
9046,PA14_69150,3-polyprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.98),E,E,,,E
7492,PA14_69190,Transcription termination factor Rho,E,E,,,E
7387,PA14_69690,Diaminopimelate epimerase (EC 5.1.1.7),E,E,,,E
7071,PA14_70240,Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5),E,E,,E,E
4769,PA14_70440,Guanylate kinase (EC 2.7.4.8),E,E,E,,E
7621,PA14_70730,4-hydroxybenzoate polyprenyltransferase (EC 2.5.1.39),E,E,,,E
4204,PA14_72480,GTP-binding protein EngB,E,E,,E,E
3760,PA14_72970,"TonB-ExbBD energy transducing system, TonB subunit",,,,,E
5485,PA14_73170,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16),E,E,E,E,E
6351,PA14_73220,N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157),E,E,,,E
7592,PA14_73240,ATP synthase beta chain (EC 3.6.3.14),E,E,E,,E
7694,PA14_73250,ATP synthase gamma chain (EC 3.6.3.14),E,E,E,,E
3319,PA14_73260,ATP synthase alpha chain (EC 3.6.3.14),E,E,E,E,E
8691,PA14_73280,ATP synthase delta chain (EC 3.6.3.14),E,E,E,,E
3566,PA14_73310,ATP synthase F0 sector subunit a (EC 3.6.3.14),E,E,E,,E
8032,PA14_73370,tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmG,,,,,E
9173,PA14_73400,tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmE,,,,,E
4532,PA14_73410,"Inner membrane protein translocase and chaperone YidC, long form",E,E,E,,E
5886,PA14_00200,Peptide deformylase (EC 3.5.1.88),E,E,E,E,
5186,PA14_00280,"Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3)",E,E,E,E,
9310,PA14_07960,hypothetical protein,E,E,E,,
1183,PA14_08695,Protein translocase subunit SecE,E,E,,,
5630,PA14_08750,LSU ribosomal protein L7p/L12p (P1/P2),E,E,E,E,
7600,PA14_09040,LSU ribosomal protein L15p (L27Ae),E,E,E,E,
8359,PA14_11260,UDP-glucose 4-epimerase (EC 5.1.3.2),E,E,E,E,
4481,PA14_11560,"(2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.10)",E,,E,,
4543,PA14_11860,Flavin prenyltransferase UbiX,E,,E,E,
6959,PA14_12390,"Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)",E,E,,,
7080,PA14_14740,Iron-sulfur cluster assembly scaffold protein IscU,E,E,E,E,
7421,PA14_16480,Chemotaxis response regulator protein-glutamate methylesterase CheB (EC 3.1.1.61),E,,,,
8191,PA14_41060,Ribonuclease HI (EC 3.1.26.4),E,E,E,E,
7842,PA14_43680,"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabA form (EC 4.2.1.59) @ Trans-2-decenoyl-[acyl-carrier-protein] isomerase (EC 5.3.3.14)",E,,,E,
8911,PA14_43940,Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5),E,,E,,
7816,PA14_44020,Succinate dehydrogenase iron-sulfur protein (EC 1.3.5.1),E,E,E,E,
5633,PA14_44030,Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1),E,E,E,E,
3605,PA14_44050,Succinate dehydrogenase hydrophobic membrane anchor protein,E,E,E,E,
3617,PA14_44060,Succinate dehydrogenase cytochrome b-556 subunit,E,E,E,E,
7052,PA14_44670,Cell division protein ZipA,E,E,E,,
6162,PA14_51270,4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7),E,E,E,E,
8435,PA14_60360,Lipoprotein signal peptidase (EC 3.4.23.36),E,E,E,E,
8332,PA14_60890,Serine hydroxymethyltransferase (EC 2.1.2.1),E,,,E,
6555,PA14_61580,"Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)",E,E,E,E,
8834,PA14_61770,Ribose-phosphate pyrophosphokinase (EC 2.7.6.1),E,E,,,
7062,PA14_62860,Cell division protein FtsH,E,,E,,
8354,PA14_65500,Phosphatidylserine decarboxylase (EC 4.1.1.65),E,E,E,E,
3770,PA14_66550,Uroporphyrinogen III decarboxylase (EC 4.1.1.37),E,E,,E,
4633,PA14_68170,"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)",E,,E,,
4109,PA14_68190,dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133),E,,,,
4184,PA14_68200,Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24),E,,E,E,
3399,PA14_68210,"dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)",E,,E,,
5441,PA14_69240,Porphobilinogen synthase (EC 4.2.1.24),E,E,,,
5761,PA14_69440,Uroporphyrinogen-III synthase (EC 4.2.1.75),E,E,E,E,
5767,PA14_69450,Porphobilinogen deaminase (EC 2.5.1.61),E,E,,E,
6192,PA14_69910,ATP-dependent DNA helicase Rep,E,,,,
8363,PA14_70260,Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23),E,,E,E,
3562,PA14_73290,ATP synthase F0 sector subunit b (EC 3.6.3.14),E,E,E,,
7685,PA14_01120,Phosphoglycerate dehydrogenase and related dehydrogenases,,E,,,
1947,PA14_05775,NA,,E,,,
6597,PA14_06510,8-amino-7-oxononanoate synthase (EC 2.3.1.47),,E,,,
4016,PA14_07740,4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262),,E,,,
7228,PA14_08470,"Protoporphyrinogen IX oxidase, novel form, HemJ (EC 1.3.-.-)",,E,,E,
7352,PA14_54420,Sigma factor RpoE negative regulatory protein RseA,,E,E,,
9057,PA14_54290,Pyridoxine 5'-phosphate synthase (EC 2.6.99.2),,E,,,
4951,PA14_52530,Transcriptional regulator,,E,,E,
7133,PA14_50800,Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5),,E,,E,
3230,PA14_44270,NA,,E,E,E,
9306,PA14_30240,Translation initiation factor 1,,E,E,E,
5711,PA14_28670,LSU ribosomal protein L35p,,E,E,E,
6409,PA14_25670,NA,,E,,E,
6912,PA14_23270,Phosphoserine aminotransferase (EC 2.6.1.52),,E,E,,
6470,PA14_17330,"Cell division protein DivIC (FtsB), stabilizes FtsL against RasP cleavage",,E,,E,
4237,PA14_16000,LSU ribosomal protein L19p,,E,E,,
6369,PA14_15970,SSU ribosomal protein S16p,,E,E,E,
4384,PA14_11430,"6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)",,E,E,,
4386,PA14_11420,"3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II (EC 3.5.4.25)",,E,,,
7224,PA14_09200,Single-stranded DNA-binding protein,,E,,,
7603,PA14_09030,LSU ribosomal protein L30p (L7e),,E,E,E,
8234,PA14_08930,LSU ribosomal protein L29p (L35e),,E,E,E,
4789,PA14_08900,LSU ribosomal protein L22p (L17e),,E,E,E,
5320,PA14_58170,Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7),,E,E,E,
7868,PA14_60450,LSU ribosomal protein L27p,,E,,E,
5719,PA14_60460,LSU ribosomal protein L21p,,E,E,,
6308,PA14_61710,Glutamyl-tRNA reductase (EC 1.2.1.70),,E,,E,
5904,PA14_61840,Antitoxin HigA,,E,,,
5753,PA14_61980,hypothetical protein,,E,,,
4071,PA14_62830,Triosephosphate isomerase (EC 5.3.1.1),,E,E,,
9245,PA14_62970,Chaperone protein DnaK,,E,,,
3655,PA14_70190,"LSU ribosomal protein L28p @ LSU ribosomal protein L28p, zinc-independent",,E,E,E,
7593,PA14_73230,ATP synthase epsilon chain (EC 3.6.3.14),,E,E,,
4860,PA14_73300,NA,,E,E,E,
3164,PA14_73320,ATP synthase protein I,,E,E,,
8853,PA14_73420,Ribonuclease P protein component (EC 3.1.26.5),,E,E,,
NA,PA14_73425,NA,,E,,,
7498,PA14_00290,Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25),,,E,,
6566,PA14_00490,Channel-forming transporter/cytolysins activator of TpsB family,,,E,,
8309,PA14_00630,NA,,,E,E,
7288,PA14_00800,hypothetical protein,,,E,,
9133,PA14_00960,Type VI secretion lipoprotein/VasD,,,E,,
616,PA14_01130,hypothetical protein,,,E,,
6278,PA14_02490,putative TonB-dependent receptor,,,E,,
7620,PA14_02570,Malonate decarboxylase delta subunit,,,E,,
8860,PA14_02610,NA,,,E,,
4299,PA14_02830,"3-carboxy-cis,cis-muconate cycloisomerase (EC 5.5.1.2)",,,E,,
6803,PA14_03240,NA,,,E,,
5110,PA14_03300,NA,,,E,,
6003,PA14_04970,NA,,,E,,
8226,PA14_05120,NA,,,E,,
8823,PA14_05260,Aspartate carbamoyltransferase (EC 2.1.3.2),,,E,,
6863,PA14_05290,UPF0301 protein YqgE,,,E,,
8979,PA14_05540,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM",,,E,,
7774,PA14_05550,"Multidrug efflux system, outer membrane factor lipoprotein => OprM of MexAB-OprM",,,E,,
4534,PA14_06090,hypothetical protein,,,E,,
NA,PA14_06110,NA,,,E,,
5690,PA14_06390,Uncharacterized MFS-type transporter,,,E,,
4248,PA14_07190,Phosphoglycerate kinase (EC 2.7.2.3),,,E,,
3208,PA14_07550,NA,,,E,,
9309,PA14_07970,NA,,,E,E,
106,PA14_08110,NA,,,E,,
NA,PA14_08570,NA,,,E,,
NA,PA14_08580,NA,,,E,,
NA,PA14_08590,NA,,,E,,
NA,PA14_08600,NA,,,E,,
NA,PA14_08610,NA,,,E,,
NA,PA14_08660,NA,,,E,,
NA,PA14_08670,NA,,,E,,
NA,PA14_08690,NA,,,E,,
3892,PA14_08830,NA,,,E,,
3327,PA14_09070,NA,,,E,E,
8447,PA14_09410,NA,,,E,,
8887,PA14_09420,NA,,,E,,
8440,PA14_09440,2-Amino-2-deoxy-isochorismate synthase (EC 2.6.1.86) PhzE,,,E,,
3471,PA14_09450,NA,,,E,,
3476,PA14_10270,"Acetoin catabolism protein X, possible NAD kinase",,,E,,
4527,PA14_10490,NA,,,E,,
7312,PA14_10780,NA,,,E,,
5597,PA14_11250,dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133),,,E,,
4389,PA14_11380,Ribonucleotide reductase transcriptional regulator NrdR,,,E,,
4879,PA14_11570,Exodeoxyribonuclease VII small subunit (EC 3.1.11.6),,,E,,
7997,PA14_12020,Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18),,,E,,
6089,PA14_12030,Ribosomal silencing factor RsfA,,,E,,
7083,PA14_12050,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177),,,E,,
8967,PA14_12110,NA,,,E,E,
4469,PA14_12400,Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3),,,E,,
4980,PA14_12470,NA,,,E,,
7129,PA14_13320,NA,,,E,,
8832,PA14_13730,Nitrate/nitrite response regulator protein NarL,,,E,,
767,PA14_14310,Predicted transcriptional regulators,,,E,,
3531,PA14_14460,DNA polymerase III chi subunit (EC 2.7.7.7),,,E,,
5809,PA14_14610,Protein translocase subunit YajC,,,E,,
5825,PA14_14710,Iron-sulfur cluster regulator IscR,,,E,,
9371,PA14_14820,Nucleoside diphosphate kinase (EC 2.7.4.6),,,E,E,
9369,PA14_14850,Type IV pilus biogenesis protein PilF,,,E,,
6549,PA14_14860,Cytoskeleton protein RodZ,,,E,,
9365,PA14_14900,FIG00449901: hypothetical protein,,,E,,
9338,PA14_14975,NA,,,E,,
5093,PA14_15470,Periplasmic mercury(+2) binding protein,,,E,,
2892,PA14_15530,NA,,,E,,
1601,PA14_15590,"FIG006126: DNA helicase, restriction/modification system component YeeB",,,E,,
7149,PA14_15740,"Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3) / Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)",,,E,,
4600,PA14_15880,NA,,,E,,
8983,PA14_15990,tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228),,,E,,
8476,PA14_16200,Phosphatidylserine/phosphatidylglycerophosphate/cardiolipi n synthases and related enzymes,,,E,,
8094,PA14_16920,NA,,,E,E,
6788,PA14_17170,Periplasmic chaperone of outer membrane proteins Skp @ Outer membrane protein H precursor,,,E,,
4669,PA14_17530,RecA protein,,,E,,
8756,PA14_17710,"LSU ribosomal protein L36p @ LSU ribosomal protein L36p, zinc-independent",,,E,,
4704,PA14_17930,Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3),,,E,,
9273,PA14_18260,1-phosphofructokinase (EC 2.7.1.56),,,E,,
3127,PA14_18320,Undecaprenyl phosphate-aminoarabinose flippase subunit ArnE,,,E,,
7402,PA14_18700,Ribonuclease T,,,E,E,
5313,PA14_18890,Electron transport complex protein RnfE,,,E,,
5557,PA14_19090,Deoxycytidine triphosphate deaminase (EC 3.5.4.13),,,E,,
4732,PA14_19510,Alkanesulfonates transport system permease protein,,,E,,
3200,PA14_19580,NA,,,E,,
4599,PA14_20360,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG (EC 2.7.8.37),,,E,,
5515,PA14_20460,hypothetical protein,,,E,E,
3153,PA14_20940,NA,,,E,,
4149,PA14_21450,VgrG protein,,,E,,
5985,PA14_21560,NA,,,E,,
NA,PA14_21810,NA,,,E,,
7775,PA14_22010,Cell division topological specificity factor MinE,,,E,E,
5882,PA14_22020,Septum site-determining protein MinD,,,E,,
8054,PA14_22650,Membrane lipoprotein lipid attachment site containing protein USSDB6D,,,E,,
7079,PA14_22910,Phosphogluconate dehydratase (EC 4.2.1.12),,,E,,
5733,PA14_23080,"6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type",,,E,,
3105,PA14_23090,4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) @ 2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14),,,E,,
8629,PA14_23210,"Similar to phosphoglycolate phosphatase, clustered with ubiquinone biosynthesis SAM-dependent O-methyltransferase",,,E,,
5569,PA14_23280,Chorismate mutase I (EC 5.4.99.5) / Prephenate dehydratase (EC 4.2.1.51),,,E,,
7157,PA14_23310,Cyclohexadienyl dehydrogenase (EC 1.3.1.12)(EC 1.3.1.43) / 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19),,,E,,
6352,PA14_24050,General secretion pathway protein I,,,E,,
NA,PA14_24120,NA,,,E,,
NA,PA14_24130,NA,,,E,,
5960,PA14_24410,FIG00657500: hypothetical protein,,,E,,
7475,PA14_24630,hypothetical protein,,,E,,
8205,PA14_24850,Glutaredoxin-like domain-containing protein PA3033,,,E,,
7717,PA14_25080,Enoyl-CoA hydratase (EC 4.2.1.17) / Delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase (EC 5.3.3.8) / 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35) / 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3),,,E,,
8412,PA14_25090,3-ketoacyl-CoA thiolase (EC 2.3.1.16),,,E,,
6347,PA14_25490,MotA/TolQ/ExbB proton channel family protein,,,E,,
6346,PA14_25500,Biopolymer transport protein ExbD/TolR,,,E,,
4545,PA14_25540,Low molecular weight protein tyrosine phosphatase (EC 3.1.3.48),,,E,E,
7477,PA14_25630,"LSU ribosomal protein L32p @ LSU ribosomal protein L32p, zinc-independent",,,E,,
9334,PA14_26300,hypothetical protein,,,E,,
5749,PA14_26340,"Transporter, LysE family",,,E,,
9210,PA14_26360,"ABC transporter, permease protein (cluster 8, B12/iron complex)",,,E,,
8771,PA14_26480,"Precorrin-6Y C(5,15)-methyltransferase [decarboxylating] (EC 2.1.1.132)",,,E,,
4488,PA14_26485,Precorrin-3B synthase,,,E,,
6741,PA14_26610,hypothetical protein,,,E,,
5867,PA14_26620,Translation initiation factor 2 (IF-2; GTPase),,,E,,
5152,PA14_26690,Isohexenylglutaconyl-CoA hydratase (EC 4.2.1.57),,,E,,
9090,PA14_26890,Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23),,,E,,
NA,PA14_27190,NA,,,E,,
5622,PA14_27200,hypothetical protein,,,E,,
8651,PA14_27210,Translation elongation factor P,,,E,,
NA,PA14_27600,NA,,,E,,
NA,PA14_27610,NA,,,E,,
4663,PA14_27640,probable RebB like protein,,,E,,
5034,PA14_27940,"Serine phosphatase RsbU, regulator of sigma subunit",,,E,,
7335,PA14_27950,Serine-protein kinase RsbW (EC 2.7.11.1),,,E,,
NA,PA14_28190,NA,,,E,,
4565,PA14_28720,NA,,,E,,
6206,PA14_28880,hypothetical protein,,,E,,
5168,PA14_29190,hypothetical protein,,,E,E,
5751,PA14_29740,Sensor protein PA2656,,,E,,
6119,PA14_29930,NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3),,,E,,
NA,PA14_30720,NA,,,E,,
3625,PA14_30930,NA,,,E,,
7896,PA14_31080,"Type IV secretory pathway, protease TraF",,,E,,
53,PA14_31250,Archaeal/vacuolar-type H+-ATPase subunit A,,,E,,
8268,PA14_31530,3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9),,,E,,
6234,PA14_31700,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5),,,E,,
6156,PA14_31900,"Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtC (RND type)",,,E,,
8597,PA14_32220,Muconate cycloisomerase (EC 5.5.1.1),,,E,,
8178,PA14_32340,Guanine deaminase (EC 3.5.4.3),,,E,,
8692,PA14_32360,Transcriptional regulator of the MexEF-OprN multidrug efflux system,,,E,,
3550,PA14_32420,Putative oxidoreductase,,,E,E,
4275,PA14_32570,NA,,,E,,
3193,PA14_32600,Thioredoxin,,,E,,
480,PA14_32810,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family,,,E,,
8331,PA14_33010,Serine hydroxymethyltransferase (EC 2.1.2.1),,,E,,
3723,PA14_33060,hypothetical protein,,,E,,
3717,PA14_33130,probable cation-transporting P-type ATPase,,,E,,
5426,PA14_33160,NA,,,E,,
9149,PA14_33530,"ABC transporter in pyoverdin gene cluster, periplasmic component",,,E,,
4167,PA14_33550,"ABC transporter in pyoverdin gene cluster, ATP-binding component",,,E,,
5067,PA14_33580,FIG137877: Hypothetical protein in pyoverdin gene cluster,,,E,,
5870,PA14_34000,Uncharacterized protein ImpH/VasB,,,E,,
6899,PA14_34020,Uncharacterized protein ImpF,,,E,,
3534,PA14_34070,Uncharacterized protein ImpB,,,E,,
8608,PA14_34150,sigma-54-dependent transcriptional regulator,,,E,,
6701,PA14_34300,Acyl-CoA dehydrogenase; probable dibenzothiophene desulfurization enzyme,,,E,,
3946,PA14_34450,"Transcriptional regulator, AraC family",,,E,,
3842,PA14_34490,"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.8.1)",,,E,,
8210,PA14_34500,"ABC transporter, ATP-binding protein",,,E,E,
7310,PA14_34640,Gluconokinase (EC 2.7.1.12),,,E,,
5207,PA14_34780,Taurine transport ATP-binding protein TauB,,,E,,
9237,PA14_34960,Carbohydrate-selective porin OprB,,,E,,
6544,PA14_35000,NA,,,E,E,
4129,PA14_35100,"Arsenate reductase (EC 1.20.4.4) thioredoxin-coupled, LMWP family",,,E,E,
1673,PA14_35550,NA,,,E,,
5377,PA14_35620,"Pellicle/biofilm biosynthesis inner membrane protein PslK, MATE transporter family",,,E,,
658,PA14_35930,NA,,,E,,
6331,PA14_35970,Acyl-CoA dehydrogenase,,,E,,
3657,PA14_35980,Putative acyl-CoA dehydrogenase,,,E,,
6113,PA14_36100,4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262),,,E,,
5474,PA14_36270,3-hydroxyisobutyrate dehydrogenase family protein,,,E,,
6143,PA14_36460,hypothetical protein,,,E,,
4942,PA14_36620,NA,,,E,,
8150,PA14_36660,Threonine dehydrogenase and related Zn-dependent dehydrogenases,,,E,,
6591,PA14_36770,hypothetical protein,,,E,E,
979,PA14_36790,NA,,,E,,
4165,PA14_36860,hypothetical protein,,,E,,
3146,PA14_36880,Nicotinamide-nucleotide amidase (EC 3.5.1.42),,,E,,
3145,PA14_36890,Metallothionein,,,E,,
3601,PA14_36920,FOG: CheY-like receiver,,,E,,
6717,PA14_36940,hypothetical protein,,,E,,
5473,PA14_37310,Allophanate hydrolase 2 subunit 2 (EC 3.5.1.54),,,E,,
7223,PA14_37350,Uncharacterized cysteine-rich DUF326 protein bsYhjQ/STM1261,,,E,,
6552,PA14_37370,6-hexanolactone hydrolase,,,E,,
3622,PA14_37420,Putative transmembrane sensor,,,E,E,
5052,PA14_37470,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases",,,E,,
8708,PA14_37510,SAM-dependent methyltransferase,,,E,,
7845,PA14_37530,probable epoxide hydrolase,,,E,,
7086,PA14_37590,"Kynurenine formamidase, bacterial (EC 3.5.1.9)",,,E,,
7483,PA14_37840,"ABC transporter, ATP-binding protein (cluster 5, nickel/peptides/opines) / ABC transporter, ATP-binding protein (cluster 5, nickel/peptides/opines)",,,E,,
6669,PA14_38310,hypothetical protein,,,E,,
8202,PA14_38395,"Multidrug efflux system, membrane fusion component => MexX of of MexXY system",,,E,,
3112,PA14_38490,Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4),,,E,,
6811,PA14_38530,Fumarylacetoacetase (EC 3.7.1.2),,,E,,
6810,PA14_38550,"Maleylacetoacetate isomerase (EC 5.2.1.2) @ Glutathione S-transferase, zeta (EC 2.5.1.18)",,,E,,
6479,PA14_38880,Pentapeptide repeat family protein,,,E,E,
6676,PA14_38910,Putative two-component sensor,,,E,,
3210,PA14_39090,hypothetical protein,,,E,,
6036,PA14_39260,Fap system putative outer membrane protein,,,E,,
3938,PA14_39700,hypothetical protein,,,E,,
8447,PA14_39880,NA,,,E,,
8889,PA14_39890,NA,,,E,,
8441,PA14_39910,2-Amino-2-deoxy-isochorismate synthase (EC 2.6.1.86) PhzE,,,E,,
3474,PA14_39925,NA,,,E,,
6955,PA14_40210,hypothetical protein,,,E,E,
1256,PA14_40260,T1SS secreted agglutinin RTX,,,E,,
7266,PA14_40610,NA,,,E,,
8290,PA14_40750,NA,,,E,,
NA,PA14_41200,NA,,,E,,
7988,PA14_41210,NA,,,E,,
3268,PA14_41240,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92),,,E,,
6882,PA14_41290,NA,,,E,,
NA,PA14_41340,NA,,,E,,
6789,PA14_41960,NA,,,E,E,
8242,PA14_42290,"Type III secretion effector protein (YopR, encoded by YscH)",,,E,E,
7761,PA14_42320,NA,,,E,,
7238,PA14_42360,"Type III secretion chaperone protein for YopN (SycN,YscB)",,,E,,
8247,PA14_42380,Type III secretion negative regulator (LscZ),,,E,,
3171,PA14_42410,NA,,,E,,
8157,PA14_42450,Type III secretion host injection protein (YopB),,,E,,
3931,PA14_42490,Type III secretion low calcium response protein (LcrR),,,E,,
4075,PA14_42510,NA,,,E,,
4068,PA14_42520,Type III secretion protein SctX,,,E,,
8693,PA14_42530,Type III secretion chaperone SycN,,,E,,
8253,PA14_42580,Type III secretion spans bacterial envelope protein (YscO),,,E,E,
1566,PA14_42600,Type III secretion protein (YscP),,,E,,
4693,PA14_42610,"Type III secretion inner membrane protein (YscQ,homologous to flagellar export components)",,,E,,
5538,PA14_42630,"Type III secretion inner membrane protein (YscS,homologous to flagellar export components)",,,E,,
9270,PA14_42830,hypothetical protein,,,E,,
5154,PA14_42960,hypothetical protein,,,E,,
7110,PA14_43040,Uncharacterized protein ImpB,,,E,,
6799,PA14_43070,secreted protein Hcp,,,E,,
4150,PA14_43080,VgrG protein,,,E,,
7428,PA14_43370,Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1),,,E,,
9240,PA14_43440,Enoyl-CoA hydratase/isomerase family protein,,,E,,
4763,PA14_43950,Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5),,,E,,
6405,PA14_44370,Cytochrome c oxidase (cbb3-type) subunit CcoN (EC 1.9.3.1),,,E,,
6396,PA14_44400,Cytochrome c oxidase (cbb3-type) subunit CcoP (EC 1.9.3.1),,,E,,
6402,PA14_44430,"Putative analog of CcoH, COG3198",,,E,,
7016,PA14_44440,Type cbb3 cytochrome oxidase biogenesis protein CcoI; Copper-translocating P-type ATPase (EC 3.6.3.4),,,E,,
6393,PA14_44450,"Type cbb3 cytochrome oxidase biogenesis protein CcoS, involved in heme b insertion",,,E,,
8045,PA14_44620,NA,,,E,,
8572,PA14_44760,"Xanthine and CO dehydrogenases maturation factor, XdhC/CoxF family",,,E,,
6799,PA14_44890,NA,,,E,,
7518,PA14_45020,2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60),,,E,,
4632,PA14_45290,Cytochrome c heme lyase subunit CcmL,,,E,E,
6757,PA14_45300,"Cytochrome c-type biogenesis protein CcmG/DsbE, thiol:disulfide oxidoreductase",,,E,,
5682,PA14_45310,Cytochrome c heme lyase subunit CcmF,,,E,,
6505,PA14_45330,"Cytochrome c-type biogenesis protein CcmE, heme chaperone",,,E,,
9384,PA14_45340,"Cytochrome c-type biogenesis protein CcmD, interacts with CcmCE",,,E,E,
7741,PA14_45350,"Cytochrome c-type biogenesis protein CcmC, putative heme lyase for CcmE",,,E,E,
7742,PA14_45370,"ABC transporter involved in cytochrome c biogenesis, CcmB subunit",,,E,,
9134,PA14_45380,"ABC transporter involved in cytochrome c biogenesis, ATPase component CcmA",,,E,E,
5669,PA14_45640,Flagellar synthesis regulator FleN,,,E,,
4853,PA14_45760,NA,,,E,,
4148,PA14_45770,Flagellar biosynthesis protein FliP,,,E,,
3579,PA14_45790,Flagellar motor switch protein FliN,,,E,,
2447,PA14_46160,NA,,,E,,
5102,PA14_46950,NA,,,E,,
3747,PA14_47670,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21),,,E,,
6992,PA14_47730,Adenosylcobinamide-phosphate synthase (EC 6.3.1.10),,,E,,
5091,PA14_47950,"4-hydroxyproline ABC transporter, permease protein 2",,,E,,
7583,PA14_48320,hypothetical protein,,,E,,
3236,PA14_48400,NA,,,E,,
5235,PA14_48900,NA,,,E,,
1588,PA14_48980,NA,,,E,,
3191,PA14_49220,NA,,,E,,
7176,PA14_49230,Periplasmic nitrate reductase component NapD,,,E,,
1469,PA14_49510,NA,,,E,,
NA,PA14_51230,NA,,,E,,
5110,PA14_51630,NA,,,E,,
3139,PA14_51780,Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12),,,E,,
8894,PA14_51790,Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12),,,E,,
NA,PA14_52550,NA,,,E,,
5673,PA14_52630,Succinylglutamate desuccinylase (EC 3.5.1.96),,,E,,
